📂 Found 43 candidate metadata files.

📄 Processed metadata_20250530_195952.json (status=unknown, 7 keys)
📄 Processed metadata_9846137_20250530_195916.json (status=complete, 10 keys)
📄 Processed F57-8_test1_3VBSED_slice_0005_20250530_200123_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0007_20250529_174717_metadata_20250529_174717.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0009_20250530_200126_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0014_20250529_174719_metadata_20250529_174719.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0001_20250530_200121_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0006_20250529_174717_metadata_20250529_174717.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0015_20250529_174719_metadata_20250529_174719.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0010_20250530_200126_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0000_20250530_200121_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0005_20250529_174717_metadata_20250529_174717.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0008_20250530_200126_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0004_20250530_200123_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0004_20250529_174717_metadata_20250529_174717.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0011_20250530_200126_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0014_20250530_200128_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0008_20250529_174718_metadata_20250529_174718.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0000_20250529_174716_metadata_20250529_174716.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0003_20250530_200121_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0013_20250530_200128_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0012_20250529_174718_metadata_20250529_174718.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0009_20250529_174718_metadata_20250529_174718.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0001_20250529_174716_metadata_20250529_174716.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0007_20250530_200123_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0011_20250529_174718_metadata_20250529_174718.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0002_20250529_174716_metadata_20250529_174716.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0015_20250530_200128_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0006_20250530_200123_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0010_20250529_174718_metadata_20250529_174718.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0013_20250529_174719_metadata_20250529_174719.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0003_20250529_174716_metadata_20250529_174716.json (status=unknown, 9 keys)
📄 Processed F57-8_test1_3VBSED_slice_0002_20250530_200121_metadata.json (status=complete, 11 keys)
📄 Processed F57-8_test1_3VBSED_slice_0012_20250530_200128_metadata.json (status=complete, 11 keys)
📄 Processed metadata_fibsem-int16_s5_20250530_195948.json (status=complete, 17 keys)
📄 Processed metadata_fibsem-int16_s0_20250530_195948.json (status=saving-data, 11 keys)
📄 Processed metadata_fibsem-int16_s4_20250530_195948.json (status=complete, 17 keys)
📄 Processed metadata_fibsem-int16_s1_20250530_195948.json (status=complete, 17 keys)
📄 Processed metadata_fibsem-int16_s8_20250530_195948.json (status=complete, 17 keys)
📄 Processed metadata_fibsem-int16_s2_20250530_195948.json (status=complete, 17 keys)
📄 Processed metadata_fibsem-int16_s7_20250530_195948.json (status=complete, 17 keys)
📄 Processed metadata_fibsem-int16_s3_20250530_195948.json (status=complete, 17 keys)
📄 Processed metadata_fibsem-int16_s6_20250530_195948.json (status=complete, 17 keys)

✅ Wrote metadata key summary to metadata_catalog_20250530_204210.json
📝 Log written to metadata_catalog_20250530_204210.log
